;;Consumption_1;Consumption_2;Consumption_3;Consumption_Flag1;Consumption_Flag2;Consumption_Par1;Consumption_Par10;Consumption_Par11;Consumption_Par12;Consumption_Par13;Consumption_Par14
18.12.2020 14:00;18.12.2020 15:00;103,600;508,689;128,915;94.629,690;92.737,098;77.755,210;74.645,004;78.532,755;80.865,408;80.087,864;80.087,869
18.12.2020 15:00;18.12.2020 16:00;92,650;497,094;120,290;96.011,346;97.931,574;82.457,186;82.457,181;69.264,045;66.790,326;79.983,465;89.053,755
18.12.2020 16:00;18.12.2020 17:00;90,600;493,743;113,547;97.926,284;100.864,068;82.205,048;73.162,503;85.493,245;76.450,699;69.874,300;78.094,798
18.12.2020 17:00;18.12.2020 18:00;58,350;463,550;85,303;98.451,500;93.528,928;87.089,423;95.798,351;81.864,060;89.702,107;91.443,896;87.089,427
18.12.2020 18:00;18.12.2020 19:00;40,350;447,709;62,141;98.610,295;98.610,285;86.034,008;68.827,221;86.034,002;91.196,045;93.777,065;92.916,724
18.12.2020 19:00;18.12.2020 20:00;34,200;439,416;60,933;98.158,943;81.471,925;85.786,517;94.365,168;73.776,404;84.070,786;85.786,521;84.070,781
18.12.2020 20:00;18.12.2020 21:00;34,950;437,609;60,002;95.522,014;82.148,942;85.960,328;93.696,755;72.206,681;83.381,517;92.837,154;73.066,278
18.12.2020 21:00;18.12.2020 22:00;31,800;434,646;55,868;89.087,593;94.432,841;76.498,788;78.028,764;73.438,834;71.908,862;82.618,682;62.729,011
18.12.2020 22:00;18.12.2020 23:00;32,250;437,609;58,544;77.058,512;67.811,490;63.868,147;65.145,513;55.565,290;61.952,106;51.733,208;60.036,063
18.12.2020 23:00;19.12.2020 00:00;33,200;439,538;56,119;67.127,387;59.072,105;55.454,517;60.445,417;51.572,697;59.336,329;60.999,964;59.336,327
19.12.2020 00:00;19.12.2020 01:00;30,050;435,409;55,082;62.728,689;62.728,688;51.831,033;45.093,001;41.983,139;49.757,795;50.276,098;45.093,002
19.12.2020 01:00;19.12.2020 02:00;33,550;439,723;58,958;59.726,606;57.934,802;46.977,415;45.568,092;42.749,451;50.735,602;38.521,486;46.037,865
19.12.2020 02:00;19.12.2020 03:00;34,100;436,727;58,814;59.244,141;48.580,202;46.778,207;43.503,731;48.649,337;39.293,699;48.181,553;42.100,388
19.12.2020 03:00;19.12.2020 04:00;75,650;481,055;101,044;60.346,052;59.742,595;48.747,768;42.410,561;52.647,581;50.210,196;50.210,201;46.797,854
19.12.2020 04:00;19.12.2020 05:00;182,850;588,693;210,365;64.027,671;69.790,156;53.454,400;51.850,763;43.298,070;47.039,876;55.592,576;45.436,249
19.12.2020 05:00;19.12.2020 06:00;198,850;600,600;225,129;79.482,293;76.303,004;66.359,718;55.078,571;65.032,525;65.032,521;68.350,503;71.668,491
19.12.2020 06:00;19.12.2020 07:00;185,000;591,001;208,353;98.764,440;99.752,075;83.182,330;78.191,395;83.182,334;76.527,745;73.200,460;80.686,861
19.12.2020 07:00;19.12.2020 08:00;176,250;582,138;202,259;107.333,286;92.306,639;89.199,728;91.875,709;96.335,699;83.847,740;96.335,693;88.307,731
19.12.2020 08:00;19.12.2020 09:00;163,950;567,568;186,804;103.843,013;113.188,880;88.187,588;71.431,957;82.014,451;74.077,573;71.431,946;86.423,833
19.12.2020 09:00;19.12.2020 10:00;172,300;577,693;197,114;99.564,131;101.555,407;85.920,824;89.357,648;69.595,880;70.455,075;69.595,870;79.047,159
19.12.2020 10:00;19.12.2020 11:00;164,050;568,325;189,503;96.024,859;86.422,379;83.366,156;70.027,577;90.035,438;66.692,927;70.861,235;76.696,865
19.12.2020 11:00;19.12.2020 12:00;156,950;562,175;183,523;87.858,720;89.615,889;81.394,140;79.766,257;69.185,026;69.998,959;73.254,722;77.324,434
19.12.2020 12:00;19.12.2020 13:00;143,850;548,033;171,075;86.803,305;78.991,015;78.768,904;77.193,520;78.768,900;64.590,506;63.015,130;75.618,152
19.12.2020 13:00;19.12.2020 14:00;125,850;530,491;151,621;85.208,205;90.320,693;76.382,036;63.397,099;69.507,658;70.271,474;72.562,931;80.201,133
19.12.2020 14:00;19.12.2020 15:00;103,600;508,689;128,915;88.588,679;87.702,790;75.948,285;78.986,213;77.467,249;71.391,385;66.075,007;69.872,418
19.12.2020 15:00;19.12.2020 16:00;92,650;497,094;120,290;90.650,509;86.117,983;75.889,199;72.094,738;74.371,417;66.782,500;64.505,821;62.988,036
19.12.2020 16:00;19.12.2020 17:00;90,600;493,743;113,547;90.665,531;85.225,595;74.693,591;69.465,042;76.934,394;73.946,651;67.224,232;64.236,490
19.12.2020 17:00;19.12.2020 18:00;58,350;463,550;85,303;92.124,730;78.306,033;82.052,162;80.411,119;75.487,996;73.026,422;73.846,950;73.846,948
19.12.2020 18:00;19.12.2020 19:00;40,350;447,709;62,141;94.641,844;104.106,026;78.594,079;77.022,199;85.667,538;66.804,974;78.594,074;75.450,316
19.12.2020 19:00;19.12.2020 20:00;34,200;439,416;60,933;93.713,750;100.273,709;77.605,185;78.381,229;68.292,567;77.605,181;67.516,513;73.724,927
19.12.2020 20:00;19.12.2020 21:00;34,950;437,609;60,002;90.846,852;91.755,314;74.039,449;59.971,954;71.818,262;66.635,508;66.635,503;71.818,269
19.12.2020 21:00;19.12.2020 22:00;31,800;434,646;55,868;81.913,556;70.445,659;68.662,231;56.303,029;59.736,147;68.662,233;59.736,147;72.095,340
19.12.2020 22:00;19.12.2020 23:00;32,250;437,609;58,544;68.895,583;59.939,163;58.054,797;46.443,843;60.376,989;62.118,629;61.538,085;56.893,700
19.12.2020 23:00;20.12.2020 00:00;33,200;439,538;56,119;57.931,576;60.828,149;52.170,440;51.648,736;55.822,371;50.083,619;55.822,371;50.083,621
20.12.2020 00:00;20.12.2020 01:00;30,050;435,409;55,082;54.311,837;46.165,066;48.802,088;49.290,104;51.242,192;40.505,740;52.218,232;44.409,902
20.12.2020 01:00;20.12.2020 02:00;33,550;439,723;58,958;52.665,591;53.192,244;47.238,101;38.262,867;47.710,484;50.544,762;46.293,341;45.820,955
20.12.2020 02:00;20.12.2020 03:00;34,100;436,727;58,814;51.694,582;47.559,015;46.231,327;46.693,642;50.392,139;39.296,631;49.467,515;39.296,628
20.12.2020 03:00;20.12.2020 04:00;75,650;481,055;101,044;53.596,549;48.236,892;47.426,226;50.271,796;38.889,513;46.003,439;41.735,085;40.312,299
20.12.2020 04:00;20.12.2020 05:00;182,850;588,693;210,365;61.488,021;51.035,058;52.493,007;48.818,495;56.692,443;50.918,212;56.167,517;56.167,511
20.12.2020 05:00;20.12.2020 06:00;198,850;600,600;225,129;72.269,634;62.151,885;63.060,746;56.124,067;59.277,097;52.971,029;66.213,780;55.493,461
20.12.2020 06:00;20.12.2020 07:00;185,000;591,001;208,353;87.723,535;73.687,780;74.903,133;71.907,007;62.918,641;66.663,785;71.907,007;73.405,074
20.12.2020 07:00;20.12.2020 08:00;176,250;582,138;202,259;95.521,297;100.297,353;80.388,714;75.565,385;84.408,144;65.918,751;76.369,280;84.408,139
20.12.2020 08:00;20.12.2020 09:00;163,950;567,568;186,804;96.537,726;83.987,822;84.102,157;68.122,757;78.215,008;79.056,031;82.420,119;69.804,802
20.12.2020 09:00;20.12.2020 10:00;172,300;577,693;197,114;91.807,851;81.708,990;86.563,849;89.160,763;83.966,933;88.295,123;94.354,595;92.623,309
20.12.2020 10:00;20.12.2020 11:00;164,050;568,325;189,503;87.505,007;83.129,761;85.041,929;85.892,341;82.490,670;81.640,254;92.695,698;74.836,908
20.12.2020 11:00;20.12.2020 12:00;156,950;562,175;183,523;84.432,826;87.810,141;83.874,689;71.293,490;79.680,957;84.713,428;83.874,690;92.262,157
20.12.2020 12:00;20.12.2020 13:00;143,850;548,033;171,075;85.155,269;93.670,789;77.528,613;73.652,182;79.079,185;65.124,034;79.854,466;84.506,180
20.12.2020 13:00;20.12.2020 14:00;125,850;530,491;151,621;82.192,887;76.439,392;77.115,889;73.260,098;79.429,362;63.235,038;70.175,455;70.946,618
20.12.2020 14:00;20.12.2020 15:00;103,600;508,689;128,915;85.440,315;92.275,536;76.679,918;78.980,310;73.612,727;78.980,318;62.877,540;72.079,122
20.12.2020 15:00;20.12.2020 16:00;92,650;497,094;120,290;84.293,703;84.293,695;76.921,687;69.998,741;83.844,628;84.613,856;76.921,688;71.537,173
20.12.2020 16:00;20.12.2020 17:00;90,600;493,743;113,547;87.876,960;73.816,652;78.025,385;80.366,140;64.761,080;85.827,916;78.805,643;79.585,890
20.12.2020 17:00;20.12.2020 18:00;58,350;463,550;85,303;87.062,194;81.838,507;80.990,991;70.462,159;85.850,442;74.511,718;88.280,171;77.751,355
20.12.2020 18:00;20.12.2020 19:00;40,350;447,709;62,141;0,000;79.844,399;85.153,278;68.122,634;74.934,889;90.262,464;76.637,948;88.559,401
20.12.2020 19:00;20.12.2020 20:00;34,200;439,416;60,933;0,000;79.188,320;85.245,915;88.655,743;81.836,080;69.901,660;71.606,574;73.311,487
20.12.2020 20:00;20.12.2020 21:00;34,950;437,609;60,002;0,000;95.216,887;79.576,493;67.640,024;80.372,255;82.759,546;76.393,434;70.027,312
20.12.2020 21:00;20.12.2020 22:00;31,800;434,646;55,868;0,000;65.542,597;73.379,552;70.444,374;68.976,783;64.574,005;71.178,163;61.638,824
20.12.2020 22:00;20.12.2020 23:00;32,250;437,609;58,544;0,000;61.891,777;66.326,762;70.969,634;68.979,832;57.704,289;60.357,358;57.041,015
20.12.2020 23:00;21.12.2020 00:00;33,200;439,538;56,119;0,000;57.642,949;56.924,597;58.063,088;58.632,329;59.770,828;60.340,070;48.955,161
21.12.2020 00:00;21.12.2020 01:00;30,050;435,409;55,082;0,000;49.721,390;54.392,664;53.848,734;45.689,845;59.288,004;51.673,035;59.831,927
21.12.2020 01:00;21.12.2020 02:00;33,550;439,723;58,958;0,000;53.198,397;51.196,380;43.516,927;56.316,015;56.316,010;55.292,086;49.660,490
21.12.2020 02:00;21.12.2020 03:00;34,100;436,727;58,814;0,000;50.645,958;52.878,748;52.349,959;51.292,383;43.889,364;48.119,661;52.349,962
21.12.2020 03:00;21.12.2020 04:00;75,650;481,055;101,044;0,000;44.462,752;51.521,481;48.430,194;45.338,910;49.460,625;47.914,982;53.582,342
21.12.2020 04:00;21.12.2020 05:00;182,850;588,693;210,365;0,000;46.552,686;53.698,838;53.698,841;59.068,715;56.383,778;58.531,728;58.531,724
21.12.2020 05:00;21.12.2020 06:00;198,850;600,600;225,129;0,000;77.754,482;64.462,209;69.619,182;58.015,995;64.462,202;59.949,855;53.503,643
21.12.2020 06:00;21.12.2020 07:00;185,000;591,001;208,353;0,000;91.000,398;75.847,525;74.330,575;79.639,894;62.194,977;71.296,673;80.398,374
21.12.2020 07:00;21.12.2020 08:00;176,250;582,138;202,259;0,000;97.305,143;81.881,020;81.881,013;74.511,731;80.243,405;76.149,350;83.518,633
21.12.2020 08:00;21.12.2020 09:00;163,950;567,568;186,804;0,000;74.840,337;87.151,654;73.207,388;84.537,106;94.123,783;82.794,074;74.078,911
21.12.2020 09:00;21.12.2020 10:00;172,300;577,693;197,114;0,000;91.402,582;87.703,860;71.917,176;87.703,863;88.580,900;88.580,891;84.195,701
21.12.2020 10:00;21.12.2020 11:00;164,050;568,325;189,503;0,000;84.456,796;87.015,747;91.366,533;93.977,003;90.496,379;75.703,709;75.703,704
21.12.2020 11:00;21.12.2020 12:00;156,950;562,175;183,523;0,000;73.855,275;84.762,574;87.305,451;84.762,575;92.391,198;89.848,326;80.524,442
21.12.2020 12:00;21.12.2020 13:00;143,850;548,033;171,075;0,000;70.508,590;82.348,819;83.995,792;83.995,792;76.584,408;82.348,820;73.290,447
21.12.2020 13:00;21.12.2020 14:00;125,850;530,491;151,621;0,000;73.328,976;81.485,818;78.226,384;77.411,529;88.004,681;84.745,252;69.262,950
21.12.2020 14:00;21.12.2020 15:00;103,600;508,689;128,915;0,000;75.422,552;81.256,210;75.568,279;80.443,641;82.881,338;86.944,144;77.193,400
21.12.2020 15:00;21.12.2020 16:00;92,650;497,094;120,290;0,000;75.860,609;83.233,281;83.233,286;69.915,959;90.724,264;86.562,615;79.071,619
21.12.2020 16:00;21.12.2020 17:00;90,600;493,743;113,547;0,000;71.518,394;86.540,079;95.194,077;77.886,069;72.693,674;95.194,084;86.540,078
21.12.2020 17:00;21.12.2020 18:00;58,350;463,550;85,303;0,000;80.122,264;87.046,863;79.212,641;75.730,769;87.917,330;90.528,734;86.176,392
21.12.2020 18:00;21.12.2020 19:00;40,350;447,709;62,141;0,000;69.687,553;85.746,105;71.169,274;72.026,738;84.031,189;83.173,717;81.458,806
21.12.2020 19:00;21.12.2020 20:00;34,200;439,416;60,933;0,000;81.497,186;89.330,793;86.650,875;92.904,025;98.263,858;78.611,099;96.477,253
21.12.2020 20:00;21.12.2020 21:00;34,950;437,609;60,002;0,000;72.206,684;87.727,461;95.622,931;91.236,559;70.181,973;78.954,715;89.482,002
21.12.2020 21:00;21.12.2020 22:00;31,800;434,646;55,868;0,000;79.558,740;81.822,356;85.913,470;84.277,023;72.821,900;73.640,125;67.912,563
21.12.2020 22:00;21.12.2020 23:00;32,250;437,609;58,544;0,000;65.784,193;68.432,432;64.326,485;62.957,839;65.695,130;69.116,756;69.801,081
21.12.2020 23:00;22.12.2020 00:00;33,200;439,538;56,119;0,000;58.227,235;60.042,761;54.638,913;57.641,047;49.235,071;60.643,188;61.243,615
22.12.2020 00:00;22.12.2020 01:00;30,050;435,409;55,082;0,000;41.983,138;52.247,147;49.112,315;43.365,139;55.904,446;51.202,203;51.202,206
22.12.2020 01:00;22.12.2020 02:00;33,550;439,723;58,958;0,000;40.870,355;55.560,738;47.226,634;58.894,375;57.227,557;53.893,919;58.338,770
22.12.2020 02:00;22.12.2020 03:00;34,100;436,727;58,814;0,000;48.181,549;52.322,966;57.555,259;42.381,605;48.660,361;56.508,797;46.567,446
22.12.2020 03:00;22.12.2020 04:00;75,650;481,055;101,044;0,000;42.898,036;53.374,449;50.705,728;47.503,265;53.374,445;45.368,285;57.644,399
22.12.2020 04:00;22.12.2020 05:00;182,850;588,693;210,365;0,000;48.108,961;58.508,469;56.753,212;60.848,806;50.902,375;55.583,043;50.902,371
22.12.2020 05:00;22.12.2020 06:00;198,850;600,600;225,129;0,000;60.387,345;71.029,677;63.926,711;71.739,975;73.870,863;62.506,121;67.478,193
22.12.2020 06:00;22.12.2020 07:00;185,000;591,001;208,353;0,000;78.191,392;91.617,233;86.120,204;95.281,913;94.365,743;90.701,061;86.120,197
22.12.2020 07:00;22.12.2020 08:00;176,250;582,138;202,259;0,000;86.523,740;101.174,972;104.210,216;89.033,984;91.057,476;101.174,972;92.069,223
22.12.2020 08:00;22.12.2020 09:00;163,950;567,568;186,804;0,000;91.715,085;100.926,403;93.861,551;103.954,185;91.843,032;99.917,137;88.815,235
22.12.2020 09:00;22.12.2020 10:00;172,300;577,693;197,114;0,000;78.187,948;90.665,172;77.972,045;76.158,752;92.478,478;86.131,907;81.598,658
22.12.2020 10:00;22.12.2020 11:00;164,050;568,325;189,503;0,000;72.528,555;88.242,473;70.593,984;89.124,889;95.301,862;73.241,263;86.477,618
22.12.2020 11:00;22.12.2020 12:00;156,950;562,175;183,523;0,000;69.998,968;82.783,717;77.816,689;69.538,326;74.505,343;88.578,570;71.193,996
22.12.2020 12:00;22.12.2020 13:00;143,850;548,033;171,075;0,000;81.131,971;82.051,616;68.102,850;76.308,007;70.564,399;74.666,969;68.923,361
22.12.2020 13:00;22.12.2020 14:00;125,850;530,491;151,621;0,000;78.673,493;84.569,088;85.414,776;86.260,465;89.643,233;73.575,108;76.957,869
22.12.2020 14:00;22.12.2020 15:00;103,600;508,689;128,915;0,000;71.391,386;84.343,414;79.282,804;75.909,072;87.717,150;75.909,079;74.222,209
22.12.2020 15:00;22.12.2020 16:00;92,650;497,094;120,290;0,000;68.300,285;85.616,280;70.205,349;76.198,487;87.328,608;88.184,757;83.903,947
22.12.2020 16:00;22.12.2020 17:00;90,600;493,743;113,547;0,000;77.681,337;89.698,097;72.655,462;76.243,393;96.873,945;72.655,466;75.346,408
22.12.2020 17:00;22.12.2020 18:00;58,350;463,550;85,303;0,000;89.436,846;89.969,193;79.172,890;95.367,341;97.166,717;86.370,423;87.270,115
22.12.2020 18:00;22.12.2020 19:00;40,350;447,709;62,141;0,000;67.590,914;90.977,756;80.060,428;90.067,979;77.331,090;82.789,767;82.789,754
22.12.2020 19:00;22.12.2020 20:00;34,200;439,416;60,933;0,000;77.605,190;91.031,402;85.569,521;91.941,717;72.825,126;99.224,219;75.556,071
22.12.2020 20:00;22.12.2020 21:00;34,950;437,609;60,002;0,000;81.443,386;89.166,986;90.058,650;92.733,658;79.358,615;80.250,290;88.275,311
22.12.2020 21:00;22.12.2020 22:00;31,800;434,646;55,868;0,000;61.109,387;79.248,376;69.738,578;68.153,607;65.776,155;75.285,954;68.946,087
22.12.2020 22:00;22.12.2020 23:00;32,250;437,609;58,544;0,000;54.571,506;69.444,929;72.917,173;65.972,682;62.500,436;60.417,092;59.028,195
22.12.2020 23:00;23.12.2020 00:00;33,200;439,538;56,119;0,000;43.823,173;60.157,211;58.954,069;55.946,203;55.344,640;60.157,214;60.758,784
23.12.2020 00:00;23.12.2020 01:00;30,050;435,409;55,082;0,000;46.850,004;57.578,936;61.033,668;47.790,523;63.336,827;62.761,037;59.882,088
23.12.2020 01:00;23.12.2020 02:00;33,550;439,723;58,958;0,000;42.986,670;53.470,296;49.192,677;54.004,994;54.004,994;52.400,894;45.984,461
23.12.2020 02:00;23.12.2020 03:00;34,100;436,727;58,814;0,000;38.834,319;53.733,524;57.494,864;45.136,165;45.673,495;59.106,869;58.032,205
23.12.2020 03:00;23.12.2020 04:00;75,650;481,055;101,044;0,000;47.426,228;54.469,919;45.754,732;55.014,611;45.210,036;47.388,834;57.738,112
23.12.2020 04:00;23.12.2020 05:00;182,850;588,693;210,365;0,000;55.117,659;56.558,226;48.074,495;45.246,591;53.164,732;58.254,976;57.123,811
23.12.2020 05:00;23.12.2020 06:00;198,850;600,600;225,129;0,000;68.736,211;75.335,737;70.062,240;78.349,169;69.308,874;82.869,299;80.609,238
23.12.2020 06:00;23.12.2020 07:00;185,000;591,001;208,353;0,000;77.150,230;89.197,754;91.873,683;97.225,544;74.926,126;76.710,073;95.441,585
23.12.2020 07:00;23.12.2020 08:00;176,250;582,138;202,259;0,000;87.623,698;97.127,847;94.214,019;92.271,463;104.898,073;92.271,447;82.558,676
23.12.2020 08:00;23.12.2020 09:00;163,950;567,568;186,804;0,000;90.830,321;101.509,007;110.644,817;110.644,812;105.569,368;81.207,219;96.433,555
23.12.2020 09:00;23.12.2020 10:00;172,300;577,693;197,114;0,000;77.907,466;87.735,332;95.631,500;86.857,971;92.999,447;94.754,155;81.593,862
23.12.2020 10:00;23.12.2020 11:00;164,050;568,325;189,503;0,000;79.939,419;86.488,577;72.650,409;70.920,635;83.029,033;87.353,462;85.623,683
23.12.2020 11:00;23.12.2020 12:00;156,950;562,175;183,523;0,000;89.745,913;85.985,366;80.826,238;74.807,274;80.826,250;85.985,366;70.508,008
23.12.2020 12:00;23.12.2020 13:00;143,850;548,033;171,075;0,000;76.753,322;81.069,519;65.666,322;81.069,513;87.555,072;81.880,213;80.258,816
23.12.2020 13:00;23.12.2020 14:00;125,850;530,491;151,621;0,000;67.861,985;83.657,090;88.676,505;73.618,242;75.291,388;81.983,944;67.762,250
23.12.2020 14:00;23.12.2020 15:00;103,600;508,689;128,915;0,000;72.845,928;83.800,149;70.392,137;79.610,148;88.828,151;74.582,136;81.286,150
23.12.2020 15:00;23.12.2020 16:00;92,650;497,094;120,290;0,000;84.613,853;84.498,276;92.948,092;91.258,137;76.893,432;81.118,346;92.103,119
23.12.2020 16:00;23.12.2020 17:00;90,600;493,743;113,547;0,000;79.585,886;86.882,346;75.587,650;92.095,279;80.800,587;86.013,514;92.095,276
23.12.2020 17:00;23.12.2020 18:00;58,350;463,550;85,303;0,000;70.462,169;87.117,320;91.473,179;78.405,594;90.602,008;71.436,207;72.307,383
23.12.2020 18:00;23.12.2020 19:00;40,350;447,709;62,141;0,000;86.004,813;87.022,543;80.060,738;89.633,209;81.801,187;80.930,960;86.152,315
23.12.2020 19:00;23.12.2020 20:00;34,200;439,416;60,933;0,000;89.508,202;86.472,481;76.960,513;70.042,721;75.231,061;71.772,162;81.284,132
23.12.2020 20:00;23.12.2020 21:00;34,950;437,609;60,002;0,000;69.231,549;82.983,996;82.983,990;87.133,194;77.175,122;73.025,923;77.175,120
23.12.2020 21:00;23.12.2020 22:00;31,800;434,646;55,868;0,000;63.840,214;76.901,499;66.904,304;76.901,501;82.284,602;79.977,558;78.439,526
23.12.2020 22:00;23.12.2020 23:00;32,250;437,609;58,544;0,000;64.336,957;65.050,885;57.244,779;68.303,427;66.351,905;65.701,393;61.798,342
23.12.2020 23:00;24.12.2020 00:00;33,200;439,538;56,119;0,000;51.801,385;58.238,081;51.249,515;56.490,937;62.897,125;57.073,315;56.490,942
24.12.2020 00:00;24.12.2020 01:00;30,050;435,409;55,082;0,000;51.673,030;58.404,741;57.820,695;54.316,412;58.404,741;49.059,981;63.077,112
